event,confirm,exit,min_hold,filter,n_trades,n_weeks,t_stat,win_rate,cagr,maxdd,calmar,by_year
tm21_15,none,water_slope,0,mkt_ma60,664,68,-1.02,57.7,1.78,-4.75,0.374,"{""2021"": 6.8, ""2022"": -1.7, ""2023"": -0.4, ""2024"": 1.9}"
tm21_15,none,water_slope,0,mkt_ma20,767,90,-2.48,48.0,1.04,-7.35,0.141,"{""2021"": 5.8, ""2022"": -1.9, ""2023"": -0.3, ""2024"": 0.4}"
tm21_15,none,water_slope,10,none,1809,171,-2.91,49.6,1.53,-11.15,0.137,"{""2021"": 9.1, ""2022"": -3.4, ""2023"": 1.3, ""2024"": -1.4}"
tm21_15,none,water_slope,10,mkt_ma60,652,67,-0.93,60.7,2.38,-4.82,0.493,"{""2021"": 7.1, ""2022"": -1.8, ""2023"": -0.4, ""2024"": 4.0}"
tm21_15,none,water_slope,10,mkt_ma20,729,90,-2.04,51.4,1.38,-9.06,0.152,"{""2021"": 6.0, ""2022"": -2.0, ""2023"": -0.3, ""2024"": 1.6}"
tm21_15,none,water_slope,20,none,1738,169,-1.63,52.0,3.62,-10.8,0.335,"{""2021"": 10.3, ""2022"": -0.9, ""2023"": 2.9, ""2024"": 1.3}"
tm21_15,none,water_slope,20,mkt_ma60,645,66,-0.97,58.6,2.94,-4.18,0.702,"{""2021"": 7.4, ""2022"": -2.0, ""2023"": 0.8, ""2024"": 4.9}"
tm21_15,none,water_slope,20,mkt_ma20,722,89,-2.01,52.4,1.81,-9.38,0.193,"{""2021"": 6.0, ""2022"": -2.0, ""2023"": -0.6, ""2024"": 3.4}"
tm21_15,none,ndaylow5,0,none,2344,181,-0.04,39.6,2.66,-4.86,0.548,"{""2021"": 4.0, ""2022"": 2.1, ""2023"": 0.4, ""2024"": 3.6}"
tm21_15,none,ndaylow5,0,mkt_ma60,751,72,0.19,47.9,1.74,-2.54,0.682,"{""2021"": 2.0, ""2022"": -0.6, ""2023"": 0.1, ""2024"": 5.0}"
tm21_15,none,ndaylow5,0,mkt_ma20,860,95,-0.7,40.0,1.0,-4.42,0.225,"{""2021"": 0.7, ""2022"": -0.3, ""2023"": -0.7, ""2024"": 4.1}"
tm21_15,none,ndaylow5,10,none,2180,180,0.52,50.0,4.51,-7.62,0.592,"{""2021"": 7.0, ""2022"": 4.8, ""2023"": 0.8, ""2024"": 4.5}"
tm21_15,none,ndaylow5,10,mkt_ma60,728,71,-0.16,58.2,2.37,-2.72,0.872,"{""2021"": 4.6, ""2022"": -0.9, ""2023"": 0.1, ""2024"": 5.0}"
tm21_15,none,ndaylow5,10,mkt_ma20,810,92,-1.29,48.9,1.39,-6.77,0.205,"{""2021"": 2.8, ""2022"": -0.7, ""2023"": -0.7, ""2024"": 3.9}"
tm21_15,none,ndaylow5,20,none,2087,176,0.83,52.3,4.96,-8.74,0.567,"{""2021"": 8.4, ""2022"": 5.0, ""2023"": 0.4, ""2024"": 4.8}"
tm21_15,none,ndaylow5,20,mkt_ma60,716,66,-0.05,56.8,2.26,-3.42,0.662,"{""2021"": 5.1, ""2022"": -1.0, ""2023"": -0.2, ""2024"": 4.5}"
tm21_15,none,ndaylow5,20,mkt_ma20,797,91,-1.34,48.9,1.08,-7.24,0.149,"{""2021"": 3.5, ""2022"": -0.7, ""2023"": -1.0, ""2024"": 2.4}"
tm21_15,none,ndaylow10,0,none,2300,180,-1.04,37.6,2.92,-7.96,0.366,"{""2021"": 6.8, ""2022"": 1.4, ""2023"": -0.3, ""2024"": 3.0}"
tm21_15,none,ndaylow10,0,mkt_ma60,742,70,-1.5,43.3,1.47,-4.77,0.309,"{""2021"": 3.8, ""2022"": -1.1, ""2023"": -0.1, ""2024"": 2.8}"
tm21_15,none,ndaylow10,0,mkt_ma20,847,92,-2.07,37.2,0.72,-5.17,0.139,"{""2021"": 2.5, ""2022"": -0.6, ""2023"": -1.0, ""2024"": 1.9}"
tm21_15,none,ndaylow10,10,none,2157,179,-0.24,45.9,4.92,-9.16,0.538,"{""2021"": 10.3, ""2022"": 3.5, ""2023"": 0.2, ""2024"": 4.5}"
tm21_15,none,ndaylow10,10,mkt_ma60,719,68,-1.16,52.9,2.35,-4.82,0.487,"{""2021"": 7.3, ""2022"": -1.3, ""2023"": 0.0, ""2024"": 2.8}"
tm21_15,none,ndaylow10,10,mkt_ma20,804,91,-2.37,45.6,1.33,-6.32,0.21,"{""2021"": 5.3, ""2022"": -1.0, ""2023"": -0.9, ""2024"": 1.7}"
tm21_15,none,ndaylow10,20,none,2057,175,0.55,49.0,5.52,-9.64,0.572,"{""2021"": 12.6, ""2022"": 4.0, ""2023"": -0.1, ""2024"": 4.1}"
tm21_15,none,ndaylow10,20,mkt_ma60,709,64,-0.02,53.6,2.55,-5.34,0.477,"{""2021"": 8.9, ""2022"": -1.4, ""2023"": -0.3, ""2024"": 2.3}"
tm21_15,none,ndaylow10,20,mkt_ma20,788,89,-1.23,47.5,1.5,-7.0,0.215,"{""2021"": 7.5, ""2022"": -0.9, ""2023"": -1.1, ""2024"": 0.4}"
tm21_15,none,ndaylow20,0,none,2207,180,0.0,33.9,3.37,-10.02,0.336,"{""2021"": 11.8, ""2022"": -1.4, ""2023"": -0.1, ""2024"": 2.3}"
tm21_15,none,ndaylow20,0,mkt_ma60,733,70,-0.37,39.4,1.71,-6.17,0.277,"{""2021"": 7.2, ""2022"": -1.6, ""2023"": -0.7, ""2024"": 1.4}"
tm21_15,none,ndaylow20,0,mkt_ma20,834,92,-0.87,34.9,1.2,-7.18,0.167,"{""2021"": 6.6, ""2022"": -1.0, ""2023"": -1.2, ""2024"": 0.4}"
tm21_15,none,ndaylow20,10,none,2047,179,0.05,41.2,4.6,-11.92,0.386,"{""2021"": 15.0, ""2022"": 0.8, ""2023"": -0.1, ""2024"": 1.8}"
tm21_15,none,ndaylow20,10,mkt_ma60,711,68,-0.44,48.2,2.37,-6.13,0.387,"{""2021"": 10.2, ""2022"": -2.0, ""2023"": -0.7, ""2024"": 1.4}"
tm21_15,none,ndaylow20,10,mkt_ma20,791,91,-1.29,42.5,1.6,-8.04,0.199,"{""2021"": 9.0, ""2022"": -1.3, ""2023"": -1.2, ""2024"": -0.2}"
tm21_15,none,ndaylow20,20,none,1953,175,0.39,45.1,4.99,-12.04,0.415,"{""2021"": 15.3, ""2022"": 0.7, ""2023"": -0.3, ""2024"": 3.1}"
tm21_15,none,ndaylow20,20,mkt_ma60,700,64,-0.21,50.9,2.34,-6.35,0.369,"{""2021"": 10.4, ""2022"": -2.2, ""2023"": -0.6, ""2024"": 1.3}"
tm21_15,none,ndaylow20,20,mkt_ma20,774,89,-1.01,45.7,1.46,-8.35,0.175,"{""2021"": 9.6, ""2022"": -1.3, ""2023"": -1.1, ""2024"": -1.3}"
tm21_15,none,hold10,0,none,2213,180,1.0,54.9,2.27,-6.07,0.374,"{""2021"": 5.9, ""2022"": 1.0, ""2023"": 1.1, ""2024"": 0.6}"
tm21_15,none,hold10,0,mkt_ma60,739,71,1.11,69.0,2.58,-2.54,1.014,"{""2021"": 5.0, ""2022"": -0.2, ""2023"": -0.0, ""2024"": 4.9}"
tm21_15,none,hold10,0,mkt_ma20,817,92,0.62,57.6,1.42,-4.89,0.29,"{""2021"": 3.5, ""2022"": -0.2, ""2023"": -0.2, ""2024"": 2.4}"
tm21_15,none,hold10,10,none,2213,180,1.0,54.9,2.27,-6.07,0.374,"{""2021"": 5.9, ""2022"": 1.0, ""2023"": 1.1, ""2024"": 0.6}"
tm21_15,none,hold10,10,mkt_ma60,739,71,1.11,69.0,2.58,-2.54,1.014,"{""2021"": 5.0, ""2022"": -0.2, ""2023"": -0.0, ""2024"": 4.9}"
tm21_15,none,hold10,10,mkt_ma20,817,92,0.62,57.6,1.42,-4.89,0.29,"{""2021"": 3.5, ""2022"": -0.2, ""2023"": -0.2, ""2024"": 2.4}"
tm21_15,none,hold10,20,none,2213,180,1.0,54.9,2.27,-6.07,0.374,"{""2021"": 5.9, ""2022"": 1.0, ""2023"": 1.1, ""2024"": 0.6}"
tm21_15,none,hold10,20,mkt_ma60,739,71,1.11,69.0,2.58,-2.54,1.014,"{""2021"": 5.0, ""2022"": -0.2, ""2023"": -0.0, ""2024"": 4.9}"
tm21_15,none,hold10,20,mkt_ma20,817,92,0.62,57.6,1.42,-4.89,0.29,"{""2021"": 3.5, ""2022"": -0.2, ""2023"": -0.2, ""2024"": 2.4}"
tm21_15,none,hold20,0,none,2122,177,1.0,56.5,5.07,-7.25,0.7,"{""2021"": 7.1, ""2022"": 4.6, ""2023"": 1.8, ""2024"": 5.9}"
tm21_15,none,hold20,0,mkt_ma60,720,68,0.86,63.5,3.15,-2.57,1.226,"{""2021"": 4.7, ""2022"": -0.6, ""2023"": 0.5, ""2024"": 7.4}"
tm21_15,none,hold20,0,mkt_ma20,806,91,-0.11,55.6,1.9,-6.88,0.276,"{""2021"": 2.7, ""2022"": -0.5, ""2023"": -0.5, ""2024"": 5.6}"
tm21_15,none,hold20,10,none,2122,177,1.0,56.5,5.07,-7.25,0.7,"{""2021"": 7.1, ""2022"": 4.6, ""2023"": 1.8, ""2024"": 5.9}"
tm21_15,none,hold20,10,mkt_ma60,720,68,0.86,63.5,3.15,-2.57,1.226,"{""2021"": 4.7, ""2022"": -0.6, ""2023"": 0.5, ""2024"": 7.4}"
tm21_15,none,hold20,10,mkt_ma20,806,91,-0.11,55.6,1.9,-6.88,0.276,"{""2021"": 2.7, ""2022"": -0.5, ""2023"": -0.5, ""2024"": 5.6}"
tm21_15,none,hold20,20,none,2122,177,1.0,56.5,5.07,-7.25,0.7,"{""2021"": 7.1, ""2022"": 4.6, ""2023"": 1.8, ""2024"": 5.9}"
tm21_15,none,hold20,20,mkt_ma60,720,68,0.86,63.5,3.15,-2.57,1.226,"{""2021"": 4.7, ""2022"": -0.6, ""2023"": 0.5, ""2024"": 7.4}"
tm21_15,none,hold20,20,mkt_ma20,806,91,-0.11,55.6,1.9,-6.88,0.276,"{""2021"": 2.7, ""2022"": -0.5, ""2023"": -0.5, ""2024"": 5.6}"
tm21_15,none,hold30,0,none,2024,175,2.1,58.3,6.03,-9.3,0.649,"{""2021"": 11.0, ""2022"": 5.5, ""2023"": 1.2, ""2024"": 5.4}"
tm21_15,none,hold30,0,mkt_ma60,717,66,1.52,65.6,3.48,-2.91,1.196,"{""2021"": 6.7, ""2022"": -0.8, ""2023"": 0.5, ""2024"": 6.8}"
