period,strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
first_half,exit_mu_ma_or_hold,002916,深南电路,PCB,3,66.67,9.06,-9.97,0.91,3.91,8.3,17.57,-8.51
first_half,exit_cao_pan_or_hold,002916,深南电路,PCB,3,66.67,9.59,-9.97,0.96,4.07,7.0,17.57,-7.98
first_half,exit_shou_cang_or_hold,002916,深南电路,PCB,3,66.67,-6.64,-9.97,-0.67,-1.86,3.0,17.57,-24.21
second_half,exit_hold_line_disappear,002916,深南电路,PCB,1,100.0,33.01,-7.42,4.45,33.35,23.0,233.65,-200.64
second_half,exit_shou_cang_disappear,002916,深南电路,PCB,1,100.0,58.8,-11.38,5.17,59.21,41.0,233.65,-174.85
second_half,exit_mu_ma_disappear,002916,深南电路,PCB,1,100.0,45.12,-16.18,2.79,45.5,39.0,233.65,-188.53
second_half,exit_cao_pan_disappear,002916,深南电路,PCB,1,100.0,45.12,-16.18,2.79,45.5,39.0,233.65,-188.53
second_half,exit_trend_down,002916,深南电路,PCB,0,0.0,88.65,-11.38,0.0,0.0,0.0,233.65,-145.0
second_half,exit_hold_or_trend_down,002916,深南电路,PCB,1,100.0,33.01,-7.42,4.45,33.35,23.0,233.65,-200.64
second_half,exit_mu_ma_or_hold,002916,深南电路,PCB,1,100.0,33.01,-7.42,4.45,33.35,23.0,233.65,-200.64
second_half,exit_cao_pan_or_hold,002916,深南电路,PCB,1,100.0,33.01,-7.42,4.45,33.35,23.0,233.65,-200.64
second_half,exit_shou_cang_or_hold,002916,深南电路,PCB,1,100.0,33.01,-7.42,4.45,33.35,23.0,233.65,-200.64
full,exit_hold_line_disappear,300394,天孚通信,光模块,4,50.0,48.51,-34.69,1.4,13.02,11.0,420.78,-372.27
full,exit_shou_cang_disappear,300394,天孚通信,光模块,4,25.0,-18.47,-21.36,-0.86,-4.39,3.2,420.78,-439.25
full,exit_mu_ma_disappear,300394,天孚通信,光模块,4,25.0,7.75,-21.82,0.36,3.74,8.0,420.78,-413.03
full,exit_cao_pan_disappear,300394,天孚通信,光模块,4,25.0,3.17,-19.91,0.16,2.28,8.2,420.78,-417.61
full,exit_trend_down,300394,天孚通信,光模块,0,0.0,575.16,-55.69,0.0,0.0,0.0,420.78,154.38
full,exit_hold_or_trend_down,300394,天孚通信,光模块,4,50.0,48.51,-34.69,1.4,13.02,11.0,420.78,-372.27
full,exit_mu_ma_or_hold,300394,天孚通信,光模块,4,25.0,11.77,-21.82,0.54,5.0,7.5,420.78,-409.01
full,exit_cao_pan_or_hold,300394,天孚通信,光模块,4,25.0,12.13,-19.91,0.61,5.08,6.8,420.78,-408.65
full,exit_shou_cang_or_hold,300394,天孚通信,光模块,4,25.0,-16.97,-19.91,-0.85,-4.02,3.0,420.78,-437.75
first_half,exit_hold_line_disappear,300394,天孚通信,光模块,3,33.33,6.21,-34.61,0.18,3.96,8.7,4.05,2.16
first_half,exit_shou_cang_disappear,300394,天孚通信,光模块,3,0.0,-21.26,-21.26,-1.0,-7.13,3.3,4.05,-25.31
first_half,exit_mu_ma_disappear,300394,天孚通信,光模块,3,0.0,-20.07,-21.71,-0.92,-6.73,4.0,4.05,-24.12
first_half,exit_cao_pan_disappear,300394,天孚通信,光模块,3,0.0,-19.81,-19.81,-1.0,-6.62,3.0,4.05,-23.86
first_half,exit_trend_down,300394,天孚通信,光模块,0,0.0,35.17,-55.69,0.0,0.0,0.0,4.05,31.12
first_half,exit_hold_or_trend_down,300394,天孚通信,光模块,3,33.33,6.21,-34.61,0.18,3.96,8.7,4.05,2.16
first_half,exit_mu_ma_or_hold,300394,天孚通信,光模块,3,0.0,-20.07,-21.71,-0.92,-6.73,4.0,4.05,-24.12
first_half,exit_cao_pan_or_hold,300394,天孚通信,光模块,3,0.0,-19.81,-19.81,-1.0,-6.62,3.0,4.05,-23.86
first_half,exit_shou_cang_or_hold,300394,天孚通信,光模块,3,0.0,-19.81,-19.81,-1.0,-6.62,3.0,4.05,-23.86
second_half,exit_hold_line_disappear,300394,天孚通信,光模块,1,100.0,39.83,-17.06,2.33,40.2,18.0,241.64,-201.81
second_half,exit_shou_cang_disappear,300394,天孚通信,光模块,1,100.0,3.54,-0.13,27.27,3.81,3.0,241.64,-238.1
second_half,exit_mu_ma_disappear,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-206.83
second_half,exit_cao_pan_disappear,300394,天孚通信,光模块,1,100.0,28.65,-17.06,1.68,28.99,24.0,241.64,-212.99
second_half,exit_trend_down,300394,天孚通信,光模块,0,0.0,122.3,-29.5,0.0,0.0,0.0,241.64,-119.34
second_half,exit_hold_or_trend_down,300394,天孚通信,光模块,1,100.0,39.83,-17.06,2.33,40.2,18.0,241.64,-201.81
second_half,exit_mu_ma_or_hold,300394,天孚通信,光模块,1,100.0,39.83,-17.06,2.33,40.2,18.0,241.64,-201.81
second_half,exit_cao_pan_or_hold,300394,天孚通信,光模块,1,100.0,39.83,-17.06,2.33,40.2,18.0,241.64,-201.81
second_half,exit_shou_cang_or_hold,300394,天孚通信,光模块,1,100.0,3.54,-0.13,27.27,3.81,3.0,241.64,-238.1
full,exit_hold_line_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,7,28.57,-16.96,-26.81,-0.63,-2.6,13.7,-10.61,-6.35
full,exit_shou_cang_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,9,22.22,30.57,-23.4,1.31,4.58,7.3,-10.61,41.18
full,exit_mu_ma_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,9,33.33,33.31,-25.48,1.31,5.05,8.6,-10.61,43.92
full,exit_cao_pan_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,9,22.22,21.96,-28.45,0.77,3.69,5.8,-10.61,32.57
full,exit_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,0,0.0,1.57,-53.25,0.0,0.0,0.0,-10.61,12.18
full,exit_hold_or_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,7,28.57,-16.47,-26.38,-0.62,-2.52,12.4,-10.61,-5.86
full,exit_mu_ma_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,9,33.33,36.84,-23.5,1.57,5.52,8.2,-10.61,47.45
full,exit_cao_pan_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,9,22.22,31.61,-22.79,1.39,5.03,5.1,-10.61,42.22
full,exit_shou_cang_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,9,22.22,31.25,-23.0,1.36,5.0,6.0,-10.61,41.86
first_half,exit_hold_line_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,3,0.0,-18.12,-18.12,-1.0,-6.2,12.7,7.65,-25.77
first_half,exit_shou_cang_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,49.06,-17.07,2.87,13.24,12.5,7.65,41.41
first_half,exit_mu_ma_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,46.79,-15.0,3.12,13.23,9.0,7.65,39.14
first_half,exit_cao_pan_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,42.23,-19.14,2.21,11.74,9.2,7.65,34.58
first_half,exit_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,0,0.0,22.27,-40.85,0.0,0.0,0.0,7.65,14.62
first_half,exit_hold_or_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,3,0.0,-17.64,-17.64,-1.0,-6.02,9.7,7.65,-25.29
first_half,exit_mu_ma_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,50.67,-14.61,3.47,14.29,8.2,7.65,43.02
first_half,exit_cao_pan_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,53.49,-14.61,3.66,14.77,7.8,7.65,45.84
first_half,exit_shou_cang_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,53.07,-14.61,3.63,14.71,9.8,7.65,45.42
