strategy,basket_regime,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
obs_then_wait_ma20_cxhzb_15d,basket_down,59,55,106,33.02,31,29,2.51,-17.7,0.05,-0.21
obs_then_wait_rs20_segment_5d,basket_neutral,992,887,1591,54.87,525,461,1.46,-16.94,0.05,-2.71
obs_then_wait_rs20_segment_5d,basket_bull,125,101,157,64.33,70,30,1.43,-14.56,0.04,-54.44
obs_then_wait_ma20_rs20_segment_10d,basket_neutral,992,879,1570,54.14,527,466,1.41,-15.57,0.04,-2.38
obs_then_wait_rs20_basket_15d,basket_neutral,992,948,1938,50.62,512,474,0.97,-19.41,0.04,-1.96
obs_then_wait_caopan_5d,basket_bull,125,91,127,66.93,64,35,0.37,-12.84,0.01,-69.27
obs_then_wait_caopan_5d,basket_down,59,44,70,35.71,35,38,11.09,-12.58,0.0,10.55
obs_then_wait_cxhzb_10d,basket_down,59,38,61,32.79,31,31,0.79,-11.28,0.0,1.17
obs_then_wait_rs20_basket_10d,basket_neutral,992,910,1716,52.21,507,480,0.71,-17.52,0.0,-1.38
obs_then_wait_cxhzb_15d,basket_neutral,992,914,1737,48.07,496,434,0.01,-16.69,0.0,-5.27
obs_then_wait_caopan_5d,basket_neutral,992,729,1069,54.26,427,466,0.0,-11.96,0.0,-3.66
obs_then_wait_cxhzb_10d,basket_bull,125,99,142,61.97,62,28,0.0,-12.55,0.0,-67.8
obs_then_wait_cxhzb_10d,basket_neutral,992,706,1040,49.23,396,444,0.0,-12.59,0.0,-4.7
obs_then_wait_cxhzb_5d,basket_bull,125,51,59,69.49,35,31,0.0,0.0,0.0,-69.27
obs_then_wait_cxhzb_5d,basket_down,59,16,20,25.0,18,30,0.0,0.0,0.0,1.8
obs_then_wait_cxhzb_5d,basket_neutral,992,392,478,56.9,242,433,0.0,0.0,0.0,-4.8
obs_then_wait_healthy_midtrend_cxhzb_10d,basket_bull,125,22,24,33.33,8,29,0.0,0.0,0.0,-72.15
obs_then_wait_healthy_midtrend_cxhzb_10d,basket_down,59,4,4,75.0,3,21,0.0,0.0,0.0,-6.05
obs_then_wait_healthy_midtrend_cxhzb_10d,basket_neutral,992,135,145,57.93,81,415,0.0,0.0,0.0,-7.69
obs_then_wait_healthy_midtrend_cxhzb_15d,basket_bull,125,52,66,54.55,32,31,0.0,0.0,0.0,-69.27
obs_then_wait_healthy_midtrend_cxhzb_15d,basket_down,59,17,20,20.0,5,18,0.0,0.0,0.0,-9.1
obs_then_wait_healthy_midtrend_cxhzb_15d,basket_neutral,992,390,465,45.81,191,411,0.0,0.0,0.0,-8.89
obs_then_wait_healthy_midtrend_cxhzb_5d,basket_bull,125,4,4,50.0,2,32,0.0,0.0,0.0,-72.15
obs_then_wait_healthy_midtrend_cxhzb_5d,basket_down,59,0,0,0.0,0,22,0.0,0.0,0.0,-6.24
obs_then_wait_healthy_midtrend_cxhzb_5d,basket_neutral,992,20,20,50.0,11,416,0.0,0.0,0.0,-8.15
obs_then_wait_ma20_cxhzb_10d,basket_bull,125,86,125,65.6,59,29,0.0,-11.4,0.0,-68.38
obs_then_wait_ma20_cxhzb_10d,basket_down,59,36,54,37.04,28,31,0.0,-10.03,0.0,1.36
obs_then_wait_ma20_cxhzb_10d,basket_neutral,992,655,912,50.44,378,453,0.0,-10.72,0.0,-3.9
obs_then_wait_ma20_cxhzb_15d,basket_neutral,992,891,1603,48.35,485,436,0.0,-15.58,0.0,-4.9
obs_then_wait_ma20_cxhzb_5d,basket_bull,125,46,50,70.0,33,31,0.0,0.0,0.0,-69.27
obs_then_wait_ma20_cxhzb_5d,basket_down,59,14,16,31.25,14,28,0.0,0.0,0.0,-1.1
obs_then_wait_ma20_cxhzb_5d,basket_neutral,992,322,372,56.72,194,436,0.0,0.0,0.0,-4.87
obs_then_wait_ma20_cxhzb_rs20_segment_10d,basket_bull,125,65,81,60.49,41,29,0.0,-7.38,0.0,-68.93
obs_then_wait_ma20_cxhzb_rs20_segment_10d,basket_down,59,34,44,34.09,26,32,0.0,-9.61,0.0,2.92
obs_then_wait_ma20_cxhzb_rs20_segment_10d,basket_neutral,992,501,629,50.87,286,442,0.0,-6.69,0.0,-5.19
obs_then_wait_ma20_cxhzb_rs20_segment_15d,basket_bull,125,89,137,53.28,48,28,0.0,-13.61,0.0,-68.8
obs_then_wait_ma20_cxhzb_rs20_segment_15d,basket_down,59,50,88,32.95,29,29,0.0,-17.7,0.0,-1.14
obs_then_wait_ma20_cxhzb_rs20_segment_15d,basket_neutral,992,747,1160,47.84,380,431,0.0,-12.37,0.0,-5.94
obs_then_wait_ma20_cxhzb_rs20_segment_5d,basket_bull,125,36,36,61.11,22,30,0.0,0.0,0.0,-69.81
obs_then_wait_ma20_cxhzb_rs20_segment_5d,basket_down,59,11,12,16.67,13,28,0.0,0.0,0.0,-1.1
obs_then_wait_ma20_cxhzb_rs20_segment_5d,basket_neutral,992,196,216,56.48,118,430,0.0,0.0,0.0,-5.56
obs_then_wait_ma20_rs20_segment_5d,basket_bull,125,92,124,62.1,57,28,0.0,-12.84,0.0,-69.27
obs_then_wait_ma20_rs20_segment_5d,basket_neutral,992,758,1154,56.07,475,461,0.0,-12.04,0.0,-3.28
obs_then_wait_rs20_basket_5d,basket_bull,125,75,86,81.4,60,37,0.0,-8.61,0.0,-66.3
obs_then_wait_rs20_basket_5d,basket_neutral,992,837,1371,52.59,472,460,0.0,-15.09,0.0,-3.15
