strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
control_tianma_fixed20,高速铜缆/铜连接,24,20,34,41.18,7,9,-2.96,-14.59,-0.16,-14.32
control_tianma_fixed20,算力/IDC/算力租赁,24,24,43,41.86,10,6,-1.94,-15.66,-0.17,-40.77
candidate_low25_hold20_confirm4,高速铜缆/铜连接,24,23,43,48.84,8,5,-4.94,-23.41,-0.2,-21.58
candidate_tianma_hold20_confirm4,算力芯片/GPU/CPU设计,12,12,26,42.31,5,9,-4.33,-19.64,-0.21,12.53
candidate_low25_hold20_confirm4,算力/IDC/算力租赁,24,24,48,50.0,9,9,-3.99,-23.07,-0.26,-33.8
candidate_low25_hold20_confirm4,算力芯片/GPU/CPU设计,12,12,35,37.14,3,9,-6.46,-23.12,-0.29,6.08
control_tianma_fixed20,算力芯片/GPU/CPU设计,12,12,28,35.71,4,9,-7.79,-18.16,-0.38,7.27
control_tianma_fixed20,连接器,12,12,21,52.38,3,4,-4.9,-12.41,-0.41,-21.43
candidate_low25_hold20_confirm4,连接器,12,12,21,38.09,5,4,-7.12,-17.64,-0.5,-9.54
candidate_tianma_hold20_confirm4,连接器,12,12,20,50.0,4,4,-7.1,-16.6,-0.51,-8.0
