period,strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
first_half,tianma__shou_gone,tianma,shou_gone,15,4,0,61,58,126,58.73,51,35,37.18,-20.22,1.48,7.38
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,4,0,61,58,127,59.06,51,35,37.18,-20.22,1.48,7.38
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,1,0,61,61,217,43.78,52,30,34.54,-21.32,1.48,-0.89
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,1,0,61,61,189,50.26,55,31,33.33,-21.23,1.48,1.12
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,1,0,61,61,186,51.61,52,29,33.33,-22.02,1.48,-4.64
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,4,0,61,61,515,44.66,53,13,32.07,-25.05,1.48,-188.8
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,1,0,61,59,130,62.31,54,35,30.71,-20.68,1.48,4.76
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,4,0,61,61,267,44.94,47,29,30.53,-21.58,1.48,-0.15
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,5,0,61,61,189,54.5,55,30,29.84,-20.0,1.48,-5.29
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,4,0,61,61,194,55.15,51,25,27.84,-20.39,1.48,-5.78
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,1,0,61,59,138,61.59,51,31,26.14,-19.01,1.48,1.16
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,3,0,61,61,519,45.09,52,12,34.65,-23.49,1.47,-188.45
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,3,0,61,61,281,59.07,51,15,34.25,-21.85,1.47,-168.53
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,3,0,61,61,153,67.97,57,31,33.06,-21.63,1.47,0.52
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,3,0,61,61,145,71.04,55,30,32.02,-21.56,1.47,-0.43
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,3,0,61,61,145,71.04,55,30,32.02,-21.56,1.47,-0.43
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,5,0,61,61,510,45.49,52,13,32.02,-26.7,1.46,-196.86
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,1,0,61,61,161,65.22,54,29,31.37,-20.5,1.46,-5.28
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,1,0,61,61,161,63.98,54,28,28.55,-20.49,1.46,-6.66
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,5,0,61,57,113,66.37,52,36,40.96,-21.93,1.45,7.5
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,3,0,61,61,178,52.25,55,34,36.18,-21.98,1.45,6.75
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,3,0,61,61,178,52.25,55,34,36.18,-21.98,1.45,6.75
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,3,0,61,61,182,61.54,49,24,28.85,-21.56,1.45,-6.65
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,3,0,61,61,182,61.54,49,25,28.85,-21.56,1.45,-6.65
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,1,0,61,61,168,56.55,53,31,33.33,-22.02,1.44,4.11
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,1,0,61,59,142,56.34,54,33,29.59,-20.68,1.44,3.37
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,1,0,61,61,182,57.14,56,27,27.65,-22.11,1.44,-4.64
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,5,0,61,59,147,57.14,50,28,27.4,-19.76,1.44,-3.58
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,1,0,61,59,144,59.03,49,29,27.4,-19.01,1.44,-2.39
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,2,0,61,61,209,55.02,51,25,26.75,-20.72,1.44,-5.99
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,1,0,61,61,228,47.37,53,26,25.94,-20.39,1.44,-5.56
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,5,0,61,57,125,60.0,50,35,40.96,-22.42,1.43,5.08
first_half,tianma__shou_gone,tianma,shou_gone,15,5,0,61,58,121,61.98,51,33,40.5,-20.25,1.43,5.08
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,5,0,61,58,121,61.98,51,33,40.5,-20.25,1.43,5.08
first_half,tianma__shou_gone,tianma,shou_gone,20,5,0,61,58,116,67.24,53,34,34.79,-21.72,1.43,3.66
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,5,0,61,58,116,67.24,53,34,34.79,-21.72,1.43,3.66
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,2,0,61,61,153,60.13,58,36,32.89,-22.95,1.43,9.71
first_half,tianma__hold_gone,tianma,hold_gone,20,4,0,61,59,131,67.94,52,34,30.55,-19.51,1.43,1.99
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,4,0,61,59,131,67.94,52,34,30.55,-19.51,1.43,1.99
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,2,0,61,59,124,64.52,56,35,30.2,-21.21,1.43,11.04
first_half,tianma__hold_gone,tianma,hold_gone,15,4,0,61,59,138,67.39,51,33,26.93,-19.51,1.43,1.67
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,4,0,61,59,138,67.39,51,33,26.93,-19.51,1.43,1.67
first_half,tianma__hold_gone,tianma,hold_gone,20,5,0,61,59,127,68.5,53,34,26.22,-18.96,1.43,2.53
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,5,0,61,59,127,68.5,53,34,26.22,-18.96,1.43,2.53
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,5,0,61,57,106,70.76,52,35,40.74,-22.1,1.42,5.08
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,3,0,61,61,208,47.12,53,31,35.0,-23.09,1.42,3.94
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,3,0,61,61,208,47.12,54,32,35.0,-23.09,1.42,8.31
full,tianma__shou_gone,tianma,shou_gone,5,5,0,61,61,331,46.22,51,15,34.08,-25.98,1.42,-113.76
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,5,0,61,61,331,46.22,50,15,34.08,-25.68,1.42,-113.76
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,3,0,61,61,273,43.22,47,29,30.58,-21.45,1.42,-1.15
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,2,0,61,61,212,46.7,51,30,30.05,-21.87,1.42,-2.59
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,2,0,61,61,213,46.95,51,29,30.05,-21.87,1.42,-4.44
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,1,0,61,61,319,53.92,50,13,27.51,-20.5,1.42,-182.54
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,5,0,61,59,140,61.43,51,31,27.4,-20.68,1.42,2.85
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,1,0,61,60,153,64.05,50,25,23.95,-17.89,1.42,-13.0
first_half,tianma__hold_gone,tianma,hold_gone,15,1,0,61,60,153,63.4,49,25,23.3,-17.89,1.42,-14.01
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,2,0,61,61,448,46.87,50,16,37.6,-26.12,1.41,-189.39
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,5,0,61,61,207,49.76,53,32,27.25,-20.39,1.41,2.62
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,5,0,61,61,207,49.76,53,32,27.25,-20.39,1.41,2.0
first_half,tianma__hold_gone,tianma,hold_gone,5,5,0,61,59,157,57.33,52,32,26.88,-18.96,1.41,3.24
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,5,0,61,59,157,57.33,52,32,26.88,-18.96,1.41,3.24
first_half,tianma__hold_gone,tianma,hold_gone,15,2,0,61,60,152,64.47,49,27,24.34,-19.01,1.41,-11.67
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,2,0,61,60,152,64.47,49,27,24.34,-19.01,1.41,-11.67
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,2,0,61,60,153,59.48,47,24,20.13,-18.96,1.41,-11.22
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,5,0,61,57,95,78.95,54,36,40.4,-22.56,1.4,10.69
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,5,0,61,57,102,72.55,51,34,37.88,-22.1,1.4,3.66
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,1,0,61,61,170,60.0,52,30,29.39,-21.43,1.4,-3.89
full,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,2,0,61,61,336,50.0,51,14,23.88,-23.48,1.4,-196.31
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,2,0,61,59,134,58.21,56,35,33.33,-20.43,1.39,10.6
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,2,0,61,61,387,52.45,50,14,32.47,-25.24,1.39,-198.94
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,2,0,61,61,388,52.32,50,14,32.47,-25.24,1.39,-198.94
first_half,tianma__shou_gone,tianma,shou_gone,20,2,0,61,59,127,62.99,53,33,28.73,-21.36,1.39,2.06
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,2,0,61,59,128,63.28,53,32,28.73,-21.36,1.39,1.54
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,2,0,61,59,120,65.0,55,34,27.96,-21.43,1.39,4.82
first_half,tianma__hold_gone,tianma,hold_gone,20,1,0,61,60,147,64.63,51,26,23.95,-18.24,1.39,-9.93
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,1,0,61,60,147,65.31,52,26,23.52,-18.24,1.39,-8.16
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,1,0,61,60,147,63.95,50,25,23.39,-18.88,1.39,-9.93
first_half,tianma__shou_gone,tianma,shou_gone,20,4,0,61,58,119,64.71,52,36,33.64,-21.49,1.38,8.03
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,4,0,61,58,120,65.0,52,36,33.64,-21.49,1.38,8.03
full,tianma__hold_gone,tianma,hold_gone,5,1,0,61,61,353,49.29,50,14,28.94,-19.49,1.38,-200.54
full,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,1,0,61,61,353,50.42,49,14,27.77,-19.49,1.38,-199.19
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,4,0,61,61,351,45.3,49,12,23.09,-21.43,1.38,-191.38
first_half,tianma__shou_gone,tianma,shou_gone,15,2,0,61,59,134,57.46,52,30,29.77,-19.76,1.37,-1.75
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,2,0,61,59,135,57.78,52,29,29.77,-19.76,1.37,-1.93
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,3,0,61,61,196,57.65,50,23,26.67,-20.31,1.37,-7.13
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,4,0,61,59,141,62.41,51,31,26.41,-19.59,1.37,1.63
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,1,0,61,61,194,59.28,48,24,24.21,-20.65,1.37,-9.57
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,1,0,61,61,205,56.1,49,24,24.21,-20.08,1.37,-9.76
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,1,0,61,60,154,60.39,46,22,20.67,-17.81,1.37,-14.67
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,2,0,61,60,153,61.44,48,23,17.68,-18.88,1.37,-15.02
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,4,0,61,61,201,51.74,51,27,29.0,-21.25,1.36,-4.25
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,1,0,61,59,164,54.27,51,28,25.18,-19.02,1.36,-2.39
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,5,0,61,61,548,40.33,54,13,34.52,-26.34,1.35,-126.43
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,5,0,61,61,180,56.67,56,26,32.87,-23.94,1.35,-3.58
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,5,0,61,61,221,48.87,51,28,27.25,-19.51,1.35,-1.59
full,tianma__hold_gone,tianma,hold_gone,5,2,0,61,61,335,50.15,51,14,23.88,-23.48,1.35,-200.44
first_half,tianma__hold_gone,tianma,hold_gone,15,5,0,61,59,132,67.42,54,33,32.87,-18.96,1.34,2.5
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,5,0,61,59,132,67.42,54,33,32.87,-18.96,1.34,2.5
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,1,0,61,61,162,58.02,55,30,30.38,-22.95,1.34,-0.06
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,1,0,61,61,187,61.5,52,26,27.45,-21.43,1.34,-7.56
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,1,0,61,61,191,59.69,51,25,27.45,-21.43,1.34,-7.56
first_half,tianma__hold_gone,tianma,hold_gone,20,2,0,61,60,146,64.38,50,28,22.44,-19.01,1.34,-7.38
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,2,0,61,60,147,63.95,51,27,22.44,-19.14,1.34,-8.16
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,2,0,61,60,146,64.38,50,28,22.44,-19.01,1.34,-7.38
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,2,0,61,61,279,43.73,50,27,31.15,-20.98,1.33,-4.42
full,tianma__shou_gone,tianma,shou_gone,5,3,0,61,61,337,46.88,50,13,30.72,-23.79,1.33,-132.09
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,3,0,61,61,337,46.88,50,14,30.63,-23.79,1.33,-132.09
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,3,0,61,61,174,63.22,54,27,30.55,-21.56,1.33,-6.65
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,3,0,61,61,174,63.22,54,27,30.55,-21.56,1.33,-6.65
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,1,0,61,61,193,60.1,50,27,30.55,-22.11,1.33,-6.34
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,1,0,61,61,187,61.5,51,26,26.61,-21.43,1.33,-7.06
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,1,0,61,61,211,55.92,50,26,26.05,-19.76,1.33,-6.34
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,4,0,61,61,217,48.39,49,29,25.9,-19.76,1.33,-5.8
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,4,0,61,61,217,48.85,50,29,25.9,-19.76,1.33,-5.8
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,3,0,61,61,200,55.5,51,27,25.18,-20.13,1.33,-7.45
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,3,0,61,61,200,55.5,51,27,25.18,-20.13,1.33,-7.45
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,1,0,61,61,195,58.97,47,24,23.69,-20.31,1.33,-9.57
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,2,0,61,61,190,60.0,52,27,31.22,-22.36,1.32,-7.46
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,4,0,61,61,182,56.59,53,28,31.21,-23.65,1.32,-3.36
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,2,0,61,61,162,65.43,56,32,31.14,-21.56,1.32,1.53
full,tianma__shou_gone,tianma,shou_gone,5,4,0,61,61,335,47.46,51,15,30.37,-24.53,1.32,-123.88
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,4,0,61,61,335,47.16,51,15,30.37,-24.53,1.32,-123.88
first_half,tianma__hold_gone,tianma,hold_gone,10,5,0,61,59,143,61.54,54,32,29.06,-18.96,1.32,3.6
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,5,0,61,59,143,61.54,54,32,29.06,-18.96,1.32,3.6
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,4,0,61,59,150,57.33,49,27,25.42,-19.28,1.31,-5.0
first_half,tianma__hold_gone,tianma,hold_gone,10,3,0,61,60,155,61.29,51,28,25.04,-18.37,1.31,-5.57
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,3,0,61,60,155,61.29,51,28,25.04,-18.37,1.31,-5.57
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,2,0,61,61,203,57.14,50,22,24.51,-20.0,1.31,-7.58
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,3,0,61,59,128,67.19,52,33,35.44,-21.56,1.3,1.64
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,2,0,61,61,581,39.41,42,13,30.86,-24.22,1.3,-196.13
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,3,0,61,61,165,55.76,55,32,29.53,-22.95,1.3,4.91
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,3,0,61,61,165,55.76,55,32,29.53,-22.95,1.3,4.91
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,2,0,61,60,131,70.23,53,31,31.04,-19.01,1.29,1.41
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,2,0,61,61,167,56.29,56,30,30.94,-23.07,1.29,-1.66
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,2,0,61,61,168,56.55,56,29,30.94,-23.07,1.29,-4.44
first_half,tianma__hold_gone,tianma,hold_gone,30,2,0,61,60,130,70.77,52,32,29.65,-19.01,1.29,1.52
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,2,0,61,60,130,70.77,52,32,29.65,-19.01,1.29,1.52
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,2,0,61,61,278,43.16,50,27,29.13,-20.98,1.29,-4.91
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,1,0,61,61,218,46.79,53,25,28.5,-21.43,1.29,-6.0
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,5,0,61,61,242,43.8,51,27,27.4,-22.1,1.29,-5.8
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,5,0,61,59,177,46.33,46,25,24.75,-19.72,1.29,-4.92
first_half,tianma__shou_gone,tianma,shou_gone,10,1,0,61,59,157,52.87,52,26,24.5,-20.62,1.29,-5.65
first_half,tianma__shou_gone,tianma,shou_gone,20,3,0,61,59,125,62.4,51,34,29.99,-21.18,1.28,9.92
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,3,0,61,59,125,62.4,51,34,29.99,-21.18,1.28,9.92
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,1,0,61,61,171,54.97,56,28,27.65,-23.06,1.28,-5.57
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,4,0,61,61,557,39.68,49,11,27.39,-25.05,1.28,-194.2
first_half,tianma__hold_gone,tianma,hold_gone,20,3,0,61,60,135,68.15,53,31,27.37,-18.67,1.28,0.52
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,3,0,61,60,135,68.15,53,31,27.37,-18.67,1.28,0.33
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,2,0,61,61,192,60.42,46,22,25.56,-22.18,1.28,-9.59
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,2,0,61,61,192,60.42,46,22,25.56,-22.18,1.28,-9.59
first_half,tianma__hold_gone,tianma,hold_gone,5,1,0,61,60,190,51.05,47,24,15.83,-16.76,1.28,-17.97
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,2,0,61,61,191,59.69,48,25,27.52,-21.82,1.27,-12.77
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,2,0,61,61,185,60.54,49,25,27.38,-22.11,1.27,-12.77
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,2,0,61,61,185,60.54,49,25,27.38,-22.11,1.27,-12.77
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,3,0,61,60,140,65.71,51,29,27.25,-19.01,1.27,-5.23
first_half,tianma__shou_gone,tianma,shou_gone,10,2,0,61,59,153,53.6,52,29,26.96,-20.81,1.27,-3.04
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,2,0,61,59,154,53.9,52,28,26.96,-20.81,1.27,-4.09
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,3,0,61,61,221,50.23,50,27,26.3,-19.57,1.27,-6.65
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,3,0,61,61,221,50.68,50,27,26.3,-19.57,1.27,-6.65
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,1,0,61,59,127,62.99,52,33,27.65,-21.32,1.26,2.26
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,4,0,61,61,159,58.49,54,32,34.26,-23.5,1.25,7.01
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,5,0,61,61,175,57.14,56,28,29.88,-22.11,1.25,-4.43
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,4,0,61,61,181,58.56,51,26,29.28,-22.96,1.25,-3.2
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,3,0,61,61,186,59.14,51,27,28.98,-23.06,1.25,-7.49
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,3,0,61,61,184,60.33,50,25,28.85,-22.48,1.25,-6.65
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,3,0,61,59,143,62.94,50,32,27.09,-19.14,1.25,0.5
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,4,0,61,61,160,58.75,54,32,34.26,-23.5,1.24,7.01
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,1,0,61,61,463,46.87,48,14,32.32,-21.85,1.24,-201.81
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,3,0,61,60,147,63.27,49,26,25.04,-18.67,1.24,-9.29
full,tianma__hold_gone,tianma,hold_gone,10,2,0,61,61,299,56.19,51,13,29.89,-22.87,1.23,-194.56
full,tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,2,0,61,61,300,56.0,51,13,29.89,-22.87,1.23,-194.56
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,3,0,61,61,205,54.63,51,25,28.0,-22.06,1.23,-7.87
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,5,0,61,59,133,63.16,52,31,26.22,-19.14,1.23,2.14
full,tianma__shou_gone,tianma,shou_gone,5,1,0,61,61,349,44.7,48,11,22.29,-23.49,1.23,-154.04
first_half,tianma__hold_gone,tianma,hold_gone,10,1,0,61,60,169,56.81,49,25,15.83,-16.84,1.23,-17.97
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,1,0,61,60,169,57.4,49,25,15.83,-16.84,1.23,-12.15
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,1,0,61,60,190,53.16,47,24,14.83,-16.38,1.23,-17.97
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,1,0,61,61,461,46.42,49,15,30.13,-23.52,1.22,-202.46
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,5,0,61,61,316,38.92,47,26,26.92,-21.35,1.22,-11.31
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,5,0,61,59,140,60.0,52,29,26.27,-18.75,1.22,-5.51
first_half,tianma__shou_gone,tianma,shou_gone,5,5,0,61,59,177,45.76,46,25,24.75,-20.22,1.22,-4.92
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,1,0,61,61,220,52.27,48,25,19.01,-19.01,1.22,-13.51
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,1,0,61,60,177,54.8,47,24,15.32,-17.18,1.22,-19.02
full,tianma__hold_gone,tianma,hold_gone,10,1,0,61,61,308,56.49,52,13,26.65,-19.82,1.21,-192.75
full,tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,1,0,61,61,308,57.14,52,13,26.65,-19.55,1.21,-192.75
first_half,tianma__shou_gone,tianma,shou_gone,15,1,0,61,59,136,56.62,51,28,27.4,-20.31,1.2,-5.0
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,2,0,61,61,155,67.1,55,29,27.22,-21.45,1.2,-5.28
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,2,0,61,61,155,67.1,55,29,27.22,-21.45,1.2,-5.28
first_half,tianma__shou_gone,tianma,shou_gone,20,1,0,61,59,129,61.24,53,32,25.42,-21.14,1.2,1.16
first_half,tianma__shou_gone,tianma,shou_gone,5,3,0,61,60,181,45.3,45,27,22.45,-18.96,1.2,-6.9
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,3,0,61,60,181,45.86,45,27,22.45,-18.88,1.2,-6.9
first_half,tianma__shou_gone,tianma,shou_gone,5,4,0,61,59,179,46.37,44,27,22.18,-19.01,1.2,-2.92
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,4,0,61,59,179,46.93,44,27,21.21,-18.96,1.2,-2.92
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,3,0,61,60,168,57.14,48,27,18.91,-18.37,1.2,-6.65
first_half,tianma__hold_gone,tianma,hold_gone,5,2,0,61,60,181,53.59,47,24,17.68,-18.36,1.2,-7.64
