period,strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,1,0,61,61,352,59.09,53,16,41.7,-24.69,1.81,-172.16
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,5,0,61,61,128,75.0,58,39,41.13,-22.74,1.81,12.13
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,5,0,61,61,128,75.0,58,39,41.13,-22.74,1.81,12.13
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,1,0,61,61,150,66.67,57,34,38.87,-21.45,1.81,7.54
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,1,0,61,61,369,56.64,53,16,38.29,-24.19,1.81,-172.16
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,3,0,61,61,309,56.31,51,15,38.05,-21.58,1.81,-168.84
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,4,0,61,61,140,63.57,57,38,42.71,-23.5,1.8,11.13
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,3,0,61,61,170,53.53,55,37,42.17,-21.56,1.8,13.57
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,4,0,61,61,115,80.0,58,40,44.41,-23.76,1.79,14.45
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,2,0,61,61,140,70.0,59,40,43.98,-22.2,1.77,15.56
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,2,0,61,61,141,70.21,59,39,42.85,-22.2,1.77,15.56
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,1,0,61,61,380,56.84,54,16,39.99,-24.19,1.77,-181.03
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,4,0,61,61,159,62.89,57,36,39.57,-21.56,1.77,5.2
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,3,0,61,61,276,62.32,52,13,34.64,-21.63,1.77,-173.0
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,4,0,61,61,364,57.97,57,15,44.07,-25.42,1.76,-146.17
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,5,0,61,61,156,64.1,57,37,39.29,-22.14,1.76,6.54
