strategy,window,regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,002916,深南电路,PCB,1,100.0,36.76,-7.3,5.04,37.12,25.0,233.65,-26.89,-196.89
control_tianma_fixed20,2025-06-24_2026-07-03,bull_80pct_plus,002916,深南电路,PCB,1,100.0,35.72,-5.52,6.48,36.07,20.0,233.65,-26.89,-197.93
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,300394,天孚通信,光模块,2,50.0,73.25,-28.3,2.59,12.12,36.5,4.05,-55.69,69.2
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,300394,天孚通信,光模块,2,50.0,106.96,-28.3,3.78,26.18,28.5,4.05,-55.69,102.91
control_tianma_fixed20,2024-06-12_2025-06-23,flat_0_to_20pct,300394,天孚通信,光模块,3,100.0,53.92,-37.02,1.46,16.21,20.0,4.05,-55.69,49.87
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,300394,天孚通信,光模块,2,50.0,21.84,-28.3,0.77,16.62,36.5,99.38,-55.69,-77.54
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,300394,天孚通信,光模块,2,50.0,21.84,-28.3,0.77,16.62,36.5,99.38,-55.69,-77.54
control_tianma_fixed20,2024-09-04_2025-09-15,bull_80pct_plus,300394,天孚通信,光模块,2,100.0,19.08,-20.87,0.91,9.51,20.0,99.38,-55.69,-80.3
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,92.92,-17.06,5.45,53.4,49.0,148.35,-46.31,-55.43
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,92.92,-17.06,5.45,53.4,49.0,148.35,-46.31,-55.43
control_tianma_fixed20,2024-12-06_2025-12-16,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,43.71,-17.06,2.56,14.27,20.0,148.35,-46.31,-104.64
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
control_tianma_fixed20,2025-03-11_2026-03-20,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
control_tianma_fixed20,2025-06-10_2026-06-18,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
control_tianma_fixed20,2025-06-24_2026-07-03,bull_80pct_plus,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,41.67,-22.96,1.82,26.69,27.5,7.65,-40.85,34.02
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,41.67,-22.96,1.82,26.69,27.5,7.65,-40.85,34.02
control_tianma_fixed20,2024-06-12_2025-06-23,flat_0_to_20pct,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,48.8,-17.3,2.82,18.26,20.0,7.65,-40.85,41.15
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,2,0.0,-7.4,-19.81,-0.37,-3.52,40.5,-15.41,-40.85,8.01
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,2,0.0,-7.4,-19.81,-0.37,-3.52,40.5,-15.41,-40.85,8.01
control_tianma_fixed20,2024-09-04_2025-09-15,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,2,0.0,-8.42,-17.3,-0.49,-4.05,20.0,-15.41,-40.85,6.99
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-5.52,-24.72,-0.22,-2.84,37.0,-12.14,-35.23,6.62
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,1.16,-19.47,0.06,1.02,40.5,-12.14,-35.23,13.3
control_tianma_fixed20,2024-12-06_2025-12-16,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-8.26,-20.35,-0.41,-2.43,20.0,-12.14,-35.23,3.88
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,66.67,-18.71,-21.56,-0.87,-2.67,32.7,-4.32,-29.26,-14.39
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-13.25,-16.12,-0.82,-2.62,42.0,-4.32,-29.26,-8.93
control_tianma_fixed20,2025-03-11_2026-03-20,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-18.27,-19.03,-0.96,-8.26,20.0,-4.32,-29.26,-13.95
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,-20.7,-29.32,-0.71,-4.74,24.8,-30.83,-43.95,10.13
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-15.16,-24.85,-0.61,-4.35,29.3,-30.83,-43.95,15.67
control_tianma_fixed20,2025-06-10_2026-06-18,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-16.23,-27.46,-0.59,-4.49,20.0,-30.83,-43.95,14.6
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,-18.26,-29.32,-0.62,-4.74,24.8,-32.05,-43.95,13.79
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-12.55,-24.85,-0.5,-4.35,29.3,-32.05,-43.95,19.5
control_tianma_fixed20,2025-06-24_2026-07-03,down_negative,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,-13.65,-27.46,-0.5,-4.49,20.0,-32.05,-43.95,18.4
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,33.33,27.39,-12.18,2.25,9.48,23.7,23.28,-27.24,4.11
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,27.9,-12.18,2.29,14.29,21.0,23.28,-27.24,4.62
control_tianma_fixed20,2024-06-12_2025-06-23,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,26.79,-12.18,2.2,13.73,20.0,23.28,-27.24,3.51
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,33.33,2.29,-12.27,0.19,1.03,27.7,29.52,-27.24,-27.23
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,2.69,-11.93,0.23,1.61,27.0,29.52,-27.24,-26.83
control_tianma_fixed20,2024-09-04_2025-09-15,up_20_to_80pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,0.0,-1.05,-11.93,-0.09,-0.27,20.0,29.52,-27.24,-30.57
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,flat_0_to_20pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,-3.13,-22.52,-0.14,1.54,31.5,16.68,-27.24,-19.81
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,flat_0_to_20pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,1,100.0,7.71,-11.5,0.67,3.23,34.0,16.68,-27.24,-8.97
control_tianma_fixed20,2024-12-06_2025-12-16,flat_0_to_20pct,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,1,0.0,3.78,-5.74,0.66,-0.53,20.0,16.68,-27.24,-12.9
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,-14.98,-26.83,-0.56,0.69,44.0,-19.24,-31.34,4.26
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,100.0,-5.84,-18.96,-0.31,5.97,34.0,-19.24,-31.34,13.4
control_tianma_fixed20,2025-03-11_2026-03-20,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,-11.69,-16.06,-0.73,2.65,20.0,-19.24,-31.34,7.55
