date,basket_index,ma60,ret60,bull,down,up
2024-05-28,1.0,,,False,False,False
2024-05-29,0.9860870173889598,,,False,False,False
2024-05-30,0.9925493610616479,,,False,False,False
2024-05-31,0.9983864201773955,,,False,False,False
2024-06-03,1.0010783946758266,,,False,False,False
2024-06-04,0.9999742384682735,,,False,False,False
2024-06-05,1.000387949313564,,,False,False,False
2024-06-06,0.9910450652989732,,,False,False,False
2024-06-07,0.9828511268494718,,,False,False,False
2024-06-11,1.0112164971982391,,,False,False,False
2024-06-12,1.0012031109950363,,,False,False,False
2024-06-13,1.0080602823338953,,,False,False,False
2024-06-14,1.03237908787267,,,False,False,False
2024-06-17,1.0390555061183073,,,False,False,False
2024-06-18,1.0532686032240057,,,False,False,False
2024-06-19,1.0467565780636465,,,False,False,False
2024-06-20,1.0200636770774276,,,False,False,False
2024-06-21,1.0232949255888524,,,False,False,False
2024-06-24,0.9872531672716978,,,False,False,False
2024-06-25,0.9601129474494315,,,False,False,False
2024-06-26,1.0010757093138662,,,False,False,False
2024-06-27,0.9767751131589552,,,False,False,False
2024-06-28,0.9925012651457565,,,False,False,False
2024-07-01,1.0002385271036023,,,False,False,False
2024-07-02,0.9874714813319139,,,False,False,False
2024-07-03,0.9767960561338276,,,False,False,False
2024-07-04,0.9614628017259164,,,False,False,False
2024-07-05,0.9664982882166008,,,False,False,False
2024-07-08,0.9545573000356736,,,False,False,False
2024-07-09,1.0028719825498824,,,False,False,False
2024-07-10,1.012358242960771,,,False,False,False
2024-07-11,1.0287554115683872,,,False,False,False
2024-07-12,1.018293888243713,,,False,False,False
2024-07-15,1.0095729377637577,,,False,False,False
2024-07-16,1.0328263707923546,,,False,False,False
2024-07-17,1.0047824648466959,,,False,False,False
2024-07-18,0.9971099732806209,,,False,False,False
2024-07-19,1.0019518756553494,,,False,False,False
2024-07-22,1.0099939479073756,,,False,False,False
2024-07-23,0.9768476455306417,,,False,False,False
2024-07-24,0.9750678919673395,,,False,False,False
2024-07-25,0.9536122583993707,,,False,False,False
2024-07-26,0.9668492021215176,,,False,False,False
2024-07-29,0.973340312578464,,,False,False,False
2024-07-30,0.9702524490701524,,,False,False,False
2024-07-31,1.0001851752074575,,,False,False,False
2024-08-01,1.0002178592065154,,,False,False,False
2024-08-02,0.9645161398015843,,,False,False,False
2024-08-05,0.9077736336473734,,,False,False,False
2024-08-06,0.925785510710385,,,False,False,False
2024-08-07,0.9190977123328494,,,False,False,False
2024-08-08,0.9090004235086935,,,False,False,False
2024-08-09,0.9129129914708228,,,False,False,False
2024-08-12,0.9092393755752451,,,False,False,False
2024-08-13,0.9209226025440552,,,False,False,False
2024-08-14,0.9189393956178332,,,False,False,False
2024-08-15,0.9297778199386207,,,False,False,False
2024-08-16,0.9371041137185802,,,False,False,False
2024-08-19,0.9339858226777188,,,False,False,False
2024-08-20,0.9170853397145939,0.981557187825036,,False,False,False
2024-08-21,0.9148812785181881,0.9801385424670058,-0.08511872148181188,False,True,False
2024-08-22,0.9037543108760043,0.9787663306917899,-0.0834943621212686,False,True,False
2024-08-23,0.9008743619050235,0.9772384140391794,-0.09236316374086151,False,True,False
2024-08-26,0.898196295319371,0.9755685786248789,-0.10035205090251786,False,True,False
2024-08-27,0.8808626921864757,0.9735649835833898,-0.12008620216829236,False,True,False
2024-08-28,0.8879164317468684,0.9716973534713664,-0.11206069357651793,False,True,False
2024-08-29,0.8954761262838716,0.9699488230875382,-0.10487113834355921,False,True,False
2024-08-30,0.9231978032895701,0.9688180353873815,-0.06846031970194544,False,True,False
2024-09-02,0.8946144108261079,0.9673474234536588,-0.08977627802717858,False,True,False
2024-09-03,0.9017984817463659,0.9655237898627942,-0.10820434175573279,False,True,False
2024-09-04,0.884374796407534,0.9635766512863359,-0.11668792606067069,False,True,False
2024-09-05,0.8889586345783919,0.9615916238237442,-0.11814933079176104,False,True,False
2024-09-06,0.8648376872561404,0.958799267146802,-0.16228670513054166,False,True,False
2024-09-09,0.8627067448864228,0.9558601211262705,-0.16972025093316367,False,True,False
2024-09-10,0.8789641307122533,0.952955046584408,-0.1654890993410556,False,True,False
2024-09-11,0.8770357869216197,0.950126366732041,-0.16213969388755756,False,True,False
2024-09-12,0.8716888462982397,0.947653452885721,-0.1454564397433451,False,True,False
2024-09-13,0.865467059833584,0.9450229884564666,-0.1542349735238321,False,True,False
2024-09-18,0.85793377632041,0.9428676652739452,-0.13098908693163835,False,True,False
2024-09-19,0.8628426591692848,0.9412464938026093,-0.10131129732032895,False,True,False
2024-09-20,0.8624452295320449,0.9389359858062457,-0.1384815139274912,False,True,False
2024-09-23,0.8655158019024044,0.9370816639519699,-0.11390473585750027,False,True,False
2024-09-24,0.9046026727488489,0.9356166874120214,-0.08856270060673332,False,True,False
2024-09-25,0.9114762704529749,0.9341373164678443,-0.08874108949557957,False,True,False
2024-09-26,0.9439063710282575,0.9334112312961166,-0.04411784150454168,False,False,True
2024-09-27,1.005368860608793,0.9338874447040326,0.029251555936923967,False,False,True
2024-09-30,1.1317997820832806,0.9367263943766555,0.17716439996596156,False,False,True
2024-10-08,1.2796152637129186,0.9419450106349275,0.3239705432630269,True,False,False
2024-10-09,1.2104254438088888,0.9462094796978143,0.26804901472510134,True,False,False
2024-10-10,1.1725582287652205,0.9490375838014032,0.16920030588938895,False,False,True
2024-10-11,1.1194592467652618,0.950822600531478,0.10579358102647562,False,False,True
2024-10-14,1.17259500419721,0.9532199270752919,0.13981903862797895,False,False,True
2024-10-15,1.160010300083457,0.955581867272621,0.13917044330312867,False,False,True
2024-10-16,1.135696686828488,0.9576839297570331,0.12492782279217884,False,False,True
2024-10-17,1.161885453177567,0.9598349144634534,0.12495719129073168,False,False,True
2024-10-18,1.243959822880706,0.9638212037640201,0.23803894514670154,True,False,False
2024-10-21,1.2814960893889782,0.9685609723658261,0.2852103817322076,True,False,False
2024-10-22,1.2855481776903541,0.9732875773997429,0.2830438356627778,True,False,False
2024-10-23,1.2742065251475343,0.9776911203537455,0.2615981786698678,True,False,False
2024-10-24,1.282730734216782,0.9827891718318479,0.31313285145912273,True,False,False
2024-10-25,1.2957794946263352,0.9881343652094977,0.3289120740217526,True,False,False
2024-10-28,1.3093216086340396,0.9940628543800756,0.37301256050517195,True,False,False
2024-10-29,1.2965055817749267,0.999557127374299,0.3409594577210775,True,False,False
2024-10-30,1.3124265098557477,1.005208563995587,0.34837373208042166,True,False,False
2024-10-31,1.3310404848730046,1.0112216979256348,0.37184965227206157,True,False,False
2024-11-01,1.2672718499081381,1.0156731425039793,0.26703722602695223,True,False,False
2024-11-04,1.2947484089885566,1.0205819850003468,0.294466397566322,True,False,False
2024-11-05,1.3467701829107157,1.0269528857188321,0.39631689645729185,True,False,False
2024-11-06,1.3382754591023642,1.034127916143082,0.47423918199217074,True,False,False
2024-11-07,1.3616298404586744,1.0413919883055536,0.4707832696731795,True,False,False
