paper_id,created_at,code,name,segment,policy,planned_action,paper_status,date,close,reason,current_state,basket_bull,basket_down,manual_decision,decision_reason,paper_entry_price,paper_exit_price,paper_result_pct,review_after_date
P0001,2026-07-06 09:19:30 +0800,300757,罗博特科,CPO,bull_delay_ma20,sell_or_reduce_watch,open_for_manual_review,2026-07-03,512.73,bull_delay_ma20_exit_condition,止盈,1,0,,,,,,
P0002,2026-07-06 09:19:30 +0800,600183,生益科技,覆铜板CCL,base_combo,sell_or_reduce_watch,open_for_manual_review,2026-07-03,160.78,base_combo_exit_condition,止盈,1,0,,,,,,
P0003,2026-07-06 09:19:30 +0800,603186,华正新材,覆铜板CCL,base_combo,sell_or_reduce_watch,open_for_manual_review,2026-07-03,199.99,base_combo_exit_condition,止盈,1,0,,,,,,
P0004,2026-07-06 09:19:30 +0800,002636,金安国纪,覆铜板CCL,base_combo,sell_or_reduce_watch,open_for_manual_review,2026-07-03,106.95,base_combo_exit_condition,止盈,1,0,,,,,,
P0005,2026-07-06 09:19:30 +0800,002837,英维克,液冷/散热,bull_no_sell_until_ma20,sell_or_reduce_watch,open_for_manual_review,2026-07-03,71.43,bull_no_sell_until_ma20_exit_condition,止盈,1,0,,,,,,
P0006,2026-07-06 09:19:30 +0800,300499,高澜股份,液冷/散热,bull_no_sell_until_ma20,sell_or_reduce_watch,open_for_manual_review,2026-07-03,36.6,bull_no_sell_until_ma20_exit_condition,止盈,1,0,,,,,,
P0007,2026-07-06 09:19:30 +0800,300624,万兴科技,大模型/AI应用/AIGC,base_combo,sell_or_reduce_watch,open_for_manual_review,2026-07-03,50.61,base_combo_exit_condition,止盈,1,0,,,,,,
