strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
v1_tianma_exit,301308,江波龙,存储芯片,3,66.67,39.71,-22.87,1.74,13.71,21.0,675.38,-635.67
tianma_hold_10,301308,江波龙,存储芯片,3,66.67,3.04,-11.65,0.26,1.46,10.0,675.38,-672.34
tianma_hold_20,301308,江波龙,存储芯片,2,50.0,7.04,-13.95,0.5,5.21,20.0,675.38,-668.34
macd_zero_hold_10,301308,江波龙,存储芯片,15,66.67,149.46,-27.29,5.48,7.6,10.0,675.38,-525.92
kdj_any_hold_10,301308,江波龙,存储芯片,14,42.86,17.25,-32.03,0.54,2.3,10.0,675.38,-658.13
random_same_freq_hold_10,301308,江波龙,存储芯片,5,60.0,46.64,-21.34,2.19,9.11,10.0,675.38,-628.74
v1_tianma_exit,001309,德明利,存储芯片,3,66.67,36.43,-14.34,2.54,12.31,17.3,1569.36,-1532.93
tianma_hold_10,001309,德明利,存储芯片,3,66.67,33.09,-14.57,2.27,10.91,10.0,1569.36,-1536.27
tianma_hold_20,001309,德明利,存储芯片,3,66.67,61.78,-14.34,4.31,19.57,20.0,1569.36,-1507.58
macd_zero_hold_10,001309,德明利,存储芯片,15,73.33,379.64,-25.53,14.87,12.39,10.0,1569.36,-1189.72
kdj_any_hold_10,001309,德明利,存储芯片,16,68.75,266.85,-29.88,8.93,10.12,10.0,1569.36,-1302.51
random_same_freq_hold_10,001309,德明利,存储芯片,5,40.0,-9.12,-24.33,-0.37,-1.23,10.0,1569.36,-1578.48
v1_tianma_exit,300475,香农芯创,HBM,5,40.0,5.07,-25.15,0.2,2.05,13.4,874.58,-869.51
tianma_hold_10,300475,香农芯创,HBM,5,60.0,11.02,-24.58,0.45,3.45,10.0,874.58,-863.56
tianma_hold_20,300475,香农芯创,HBM,4,50.0,14.52,-21.87,0.66,5.4,20.0,874.58,-860.06
macd_zero_hold_10,300475,香农芯创,HBM,12,83.33,236.04,-21.87,10.79,11.75,10.0,874.58,-638.54
kdj_any_hold_10,300475,香农芯创,HBM,18,66.67,179.14,-35.54,5.04,7.75,10.0,874.58,-695.44
random_same_freq_hold_10,300475,香农芯创,HBM,6,50.0,-14.83,-19.97,-0.74,-2.24,10.0,874.58,-889.41
