strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
macd_zero_hold_10,600577,精达股份,高速铜缆/铜连接,13,53.85,48.88,-18.7,2.61,3.77,10.0,128.82,-79.94
kdj_any_hold_10,600577,精达股份,高速铜缆/铜连接,14,42.86,-13.41,-38.14,-0.35,-0.24,10.0,128.82,-142.23
random_same_freq_hold_10,600577,精达股份,高速铜缆/铜连接,1,0.0,-0.69,-7.66,-0.09,-0.43,10.0,128.82,-129.51
v1_tianma_exit,002475,立讯精密,连接器,4,0.0,-19.65,-22.92,-0.86,-5.02,10.5,73.43,-93.08
tianma_hold_10,002475,立讯精密,连接器,4,25.0,-8.38,-15.73,-0.53,-1.88,10.0,73.43,-81.81
tianma_hold_20,002475,立讯精密,连接器,4,75.0,0.07,-12.88,0.01,0.41,20.0,73.43,-73.36
macd_zero_hold_10,002475,立讯精密,连接器,13,53.85,-28.76,-43.55,-0.66,-0.6,10.0,73.43,-102.19
kdj_any_hold_10,002475,立讯精密,连接器,15,53.33,10.99,-39.94,0.28,2.46,10.0,73.43,-62.44
random_same_freq_hold_10,002475,立讯精密,连接器,5,20.0,-18.62,-22.97,-0.81,-3.74,10.0,73.43,-92.05
v1_tianma_exit,002179,中航光电,连接器,5,40.0,-6.65,-14.71,-0.45,-0.93,13.0,13.73,-20.38
tianma_hold_10,002179,中航光电,连接器,5,40.0,-9.68,-14.88,-0.65,-1.67,10.0,13.73,-23.41
tianma_hold_20,002179,中航光电,连接器,4,25.0,-20.89,-23.42,-0.89,-5.34,20.0,13.73,-34.62
macd_zero_hold_10,002179,中航光电,连接器,15,46.67,4.71,-23.78,0.2,0.74,10.0,13.73,-9.02
kdj_any_hold_10,002179,中航光电,连接器,17,41.18,-20.71,-30.5,-0.68,-0.9,10.0,13.73,-34.44
random_same_freq_hold_10,002179,中航光电,连接器,5,40.0,-2.57,-11.24,-0.23,-0.2,10.0,13.73,-16.3
v1_tianma_exit,002851,麦格米特,服务器电源,3,33.33,8.9,-10.48,0.85,3.89,15.7,456.59,-447.69
tianma_hold_10,002851,麦格米特,服务器电源,3,33.33,-5.83,-9.16,-0.64,-1.65,10.0,456.59,-462.42
tianma_hold_20,002851,麦格米特,服务器电源,3,100.0,52.08,-11.17,4.66,15.68,20.0,456.59,-404.51
macd_zero_hold_10,002851,麦格米特,服务器电源,10,60.0,67.45,-22.67,2.98,6.15,10.0,456.59,-389.14
kdj_any_hold_10,002851,麦格米特,服务器电源,17,47.06,-36.38,-52.55,-0.69,-1.37,10.0,456.59,-492.97
random_same_freq_hold_10,002851,麦格米特,服务器电源,3,0.0,-18.51,-26.38,-0.7,-6.32,10.0,456.59,-475.1
v1_tianma_exit,300870,欧陆通,服务器电源,4,25.0,-23.3,-31.52,-0.74,-5.89,11.0,1064.1,-1087.4
tianma_hold_10,300870,欧陆通,服务器电源,4,25.0,-7.22,-20.86,-0.35,-1.59,10.0,1064.1,-1071.32
tianma_hold_20,300870,欧陆通,服务器电源,3,66.67,-7.26,-28.32,-0.26,-1.53,20.0,1064.1,-1071.36
macd_zero_hold_10,300870,欧陆通,服务器电源,15,46.67,67.45,-42.24,1.6,5.91,10.0,1064.1,-996.65
kdj_any_hold_10,300870,欧陆通,服务器电源,17,58.82,132.83,-22.28,5.96,6.88,10.0,1064.1,-931.27
random_same_freq_hold_10,300870,欧陆通,服务器电源,3,100.0,74.74,-23.47,3.18,34.03,10.0,1064.1,-989.36
v1_tianma_exit,002843,泰嘉股份,服务器电源,8,50.0,31.97,-18.36,1.74,4.79,15.9,100.34,-68.37
tianma_hold_10,002843,泰嘉股份,服务器电源,6,50.0,3.68,-27.54,0.13,1.23,10.0,100.34,-96.66
tianma_hold_20,002843,泰嘉股份,服务器电源,5,60.0,36.84,-20.64,1.78,6.54,20.0,100.34,-63.5
macd_zero_hold_10,002843,泰嘉股份,服务器电源,14,64.29,67.03,-21.16,3.17,4.67,10.0,100.34,-33.31
kdj_any_hold_10,002843,泰嘉股份,服务器电源,14,50.0,31.85,-28.4,1.12,3.01,10.0,100.34,-68.49
random_same_freq_hold_10,002843,泰嘉股份,服务器电源,10,50.0,-27.89,-45.74,-0.61,-2.47,10.0,100.34,-128.23
v1_tianma_exit,002837,英维克,液冷/散热,4,50.0,38.42,-21.5,1.79,10.75,17.5,462.27,-423.85
tianma_hold_10,002837,英维克,液冷/散热,4,75.0,21.96,-19.85,1.11,6.13,10.0,462.27,-440.31
tianma_hold_20,002837,英维克,液冷/散热,4,75.0,65.96,-23.36,2.82,15.29,20.0,462.27,-396.31
macd_zero_hold_10,002837,英维克,液冷/散热,14,42.86,-22.32,-43.31,-0.52,-0.47,10.0,462.27,-484.59
kdj_any_hold_10,002837,英维克,液冷/散热,15,46.67,-26.52,-39.22,-0.68,-0.96,10.0,462.27,-488.79
random_same_freq_hold_10,002837,英维克,液冷/散热,5,40.0,-23.55,-39.37,-0.6,-4.39,10.0,462.27,-485.82
v1_tianma_exit,300499,高澜股份,液冷/散热,3,66.67,19.0,-25.83,0.74,6.43,21.0,226.99,-207.99
tianma_hold_10,300499,高澜股份,液冷/散热,3,33.33,5.03,-25.65,0.2,2.37,10.0,226.99,-221.96
tianma_hold_20,300499,高澜股份,液冷/散热,2,100.0,26.99,-19.01,1.42,17.34,20.0,226.99,-200.0
macd_zero_hold_10,300499,高澜股份,液冷/散热,15,53.33,26.61,-26.86,0.99,2.39,10.0,226.99,-200.38
kdj_any_hold_10,300499,高澜股份,液冷/散热,16,43.75,59.19,-25.62,2.31,3.75,10.0,226.99,-167.8
random_same_freq_hold_10,300499,高澜股份,液冷/散热,4,25.0,-8.4,-25.35,-0.33,-1.1,10.0,226.99,-235.39
v1_tianma_exit,301018,申菱环境,液冷/散热,2,50.0,0.13,-17.21,0.01,0.67,18.0,760.77,-760.64
tianma_hold_10,301018,申菱环境,液冷/散热,3,66.67,8.48,-9.9,0.86,3.08,10.0,760.77,-752.29
tianma_hold_20,301018,申菱环境,液冷/散热,2,50.0,14.81,-11.12,1.33,7.81,20.0,760.77,-745.96
macd_zero_hold_10,301018,申菱环境,液冷/散热,14,50.0,88.32,-30.33,2.91,5.85,10.0,760.77,-672.45
kdj_any_hold_10,301018,申菱环境,液冷/散热,16,56.25,117.34,-29.81,3.94,5.85,10.0,760.77,-643.43
random_same_freq_hold_10,301018,申菱环境,液冷/散热,3,66.67,18.16,-38.41,0.47,7.01,10.0,760.77,-742.61
v1_tianma_exit,002272,川润股份,液冷/散热,5,60.0,20.63,-33.04,0.62,4.86,20.0,388.4,-367.77
tianma_hold_10,002272,川润股份,液冷/散热,5,20.0,-34.78,-44.27,-0.79,-7.32,10.0,388.4,-423.18
tianma_hold_20,002272,川润股份,液冷/散热,5,60.0,10.57,-35.53,0.3,3.89,20.0,388.4,-377.83
macd_zero_hold_10,002272,川润股份,液冷/散热,14,50.0,-1.08,-51.49,-0.02,1.22,10.0,388.4,-389.48
kdj_any_hold_10,002272,川润股份,液冷/散热,16,37.5,-35.09,-61.35,-0.57,-1.64,10.0,388.4,-423.49
random_same_freq_hold_10,002272,川润股份,液冷/散热,7,57.14,90.86,-24.37,3.73,14.48,10.0,388.4,-297.54
v1_tianma_exit,601138,工业富联,AI服务器,9,44.44,11.99,-25.28,0.47,2.36,14.2,203.59,-191.6
tianma_hold_10,601138,工业富联,AI服务器,8,25.0,-19.08,-28.7,-0.67,-2.14,10.0,203.59,-222.67
tianma_hold_20,601138,工业富联,AI服务器,6,50.0,2.16,-22.26,0.1,2.12,20.0,203.59,-201.43
macd_zero_hold_10,601138,工业富联,AI服务器,15,53.33,-22.24,-45.34,-0.49,0.52,10.0,203.59,-225.83
kdj_any_hold_10,601138,工业富联,AI服务器,15,40.0,-0.46,-30.71,-0.01,2.07,10.0,203.59,-204.05
random_same_freq_hold_10,601138,工业富联,AI服务器,8,50.0,22.9,-33.23,0.69,3.59,10.0,203.59,-180.69
v1_tianma_exit,000977,浪潮信息,AI服务器,3,66.67,41.65,-13.53,3.08,11.39,25.3,84.2,-42.55
tianma_hold_10,000977,浪潮信息,AI服务器,4,50.0,2.59,-8.6,0.3,0.99,10.0,84.2,-81.61
tianma_hold_20,000977,浪潮信息,AI服务器,3,100.0,64.89,-8.87,7.31,17.22,20.0,84.2,-19.31
macd_zero_hold_10,000977,浪潮信息,AI服务器,13,38.46,8.8,-26.64,0.33,1.39,10.0,84.2,-75.4
kdj_any_hold_10,000977,浪潮信息,AI服务器,15,40.0,-20.72,-31.57,-0.66,-0.81,10.0,84.2,-104.92
random_same_freq_hold_10,000977,浪潮信息,AI服务器,4,50.0,7.53,-15.14,0.5,2.6,10.0,84.2,-76.67
v1_tianma_exit,603019,中科曙光,AI服务器,6,50.0,17.16,-24.76,0.69,1.74,15.8,122.64,-105.48
tianma_hold_10,603019,中科曙光,AI服务器,7,57.14,43.89,-16.09,2.73,6.11,10.0,122.64,-78.75
tianma_hold_20,603019,中科曙光,AI服务器,5,80.0,96.56,-18.45,5.23,14.46,20.0,122.64,-26.08
macd_zero_hold_10,603019,中科曙光,AI服务器,13,61.54,60.78,-27.03,2.25,5.24,10.0,122.64,-61.86
kdj_any_hold_10,603019,中科曙光,AI服务器,16,43.75,46.83,-23.76,1.97,3.34,10.0,122.64,-75.81
random_same_freq_hold_10,603019,中科曙光,AI服务器,7,71.43,13.82,-14.6,0.95,2.36,10.0,122.64,-108.82
v1_tianma_exit,000034,神州数码,AI服务器,4,100.0,37.43,-13.41,2.79,7.15,24.5,74.45,-37.02
tianma_hold_10,000034,神州数码,AI服务器,5,80.0,11.22,-7.62,1.47,2.45,10.0,74.45,-63.23
tianma_hold_20,000034,神州数码,AI服务器,4,100.0,39.01,-11.42,3.42,7.54,20.0,74.45,-35.44
macd_zero_hold_10,000034,神州数码,AI服务器,13,76.92,72.8,-26.17,2.78,5.18,10.0,74.45,-1.65
kdj_any_hold_10,000034,神州数码,AI服务器,13,61.54,33.58,-23.02,1.46,2.87,10.0,74.45,-40.87
random_same_freq_hold_10,000034,神州数码,AI服务器,4,25.0,-0.09,-8.78,-0.01,0.39,10.0,74.45,-74.54
v1_tianma_exit,300442,润泽科技,算力/IDC/算力租赁,5,40.0,-15.91,-23.48,-0.68,-2.96,16.0,295.24,-311.15
tianma_hold_10,300442,润泽科技,算力/IDC/算力租赁,5,40.0,-14.28,-24.97,-0.57,-2.56,10.0,295.24,-309.52
tianma_hold_20,300442,润泽科技,算力/IDC/算力租赁,4,75.0,-1.45,-19.13,-0.08,-1.14,20.0,295.24,-296.69
macd_zero_hold_10,300442,润泽科技,算力/IDC/算力租赁,17,41.18,49.84,-39.12,1.27,4.6,10.0,295.24,-245.4
kdj_any_hold_10,300442,润泽科技,算力/IDC/算力租赁,17,58.82,227.31,-35.87,6.34,9.45,10.0,295.24,-67.93
random_same_freq_hold_10,300442,润泽科技,算力/IDC/算力租赁,6,33.33,-24.65,-31.16,-0.79,-3.61,10.0,295.24,-319.89
v1_tianma_exit,300383,光环新网,算力/IDC/算力租赁,5,20.0,-18.45,-25.35,-0.73,-4.09,12.2,65.98,-84.43
tianma_hold_10,300383,光环新网,算力/IDC/算力租赁,6,33.33,-16.15,-19.62,-0.82,-2.52,10.0,65.98,-82.13
tianma_hold_20,300383,光环新网,算力/IDC/算力租赁,4,25.0,-3.25,-16.41,-0.2,-1.12,20.0,65.98,-69.23
macd_zero_hold_10,300383,光环新网,算力/IDC/算力租赁,15,46.67,-15.99,-44.06,-0.36,-0.48,10.0,65.98,-81.97
kdj_any_hold_10,300383,光环新网,算力/IDC/算力租赁,17,52.94,4.29,-35.96,0.12,0.81,10.0,65.98,-61.69
random_same_freq_hold_10,300383,光环新网,算力/IDC/算力租赁,5,40.0,-15.77,-22.36,-0.71,-2.95,10.0,65.98,-81.75
v1_tianma_exit,600602,云赛智联,算力/IDC/算力租赁,8,50.0,110.85,-26.11,4.24,13.34,16.6,55.56,55.29
tianma_hold_10,600602,云赛智联,算力/IDC/算力租赁,7,28.57,-25.13,-29.07,-0.86,-3.51,10.0,55.56,-80.69
tianma_hold_20,600602,云赛智联,算力/IDC/算力租赁,5,60.0,28.38,-24.59,1.15,8.26,20.0,55.56,-27.18
macd_zero_hold_10,600602,云赛智联,算力/IDC/算力租赁,16,12.5,-77.89,-78.5,-0.99,-8.48,10.0,55.56,-133.45
kdj_any_hold_10,600602,云赛智联,算力/IDC/算力租赁,17,23.53,-65.5,-65.99,-0.99,-5.35,10.0,55.56,-121.06
random_same_freq_hold_10,600602,云赛智联,算力/IDC/算力租赁,7,28.57,-9.6,-35.41,-0.27,-0.32,10.0,55.56,-65.16
v1_tianma_exit,300846,首都在线,算力/IDC/算力租赁,5,20.0,-13.07,-28.47,-0.46,-2.13,11.8,120.13,-133.2
tianma_hold_10,300846,首都在线,算力/IDC/算力租赁,5,40.0,-3.4,-24.05,-0.14,-0.15,10.0,120.13,-123.53
tianma_hold_20,300846,首都在线,算力/IDC/算力租赁,3,0.0,-45.91,-52.13,-0.88,-15.28,20.0,120.13,-166.04
macd_zero_hold_10,300846,首都在线,算力/IDC/算力租赁,15,33.33,-38.56,-48.37,-0.8,-2.18,10.0,120.13,-158.69
kdj_any_hold_10,300846,首都在线,算力/IDC/算力租赁,16,31.25,-56.01,-64.38,-0.87,-3.95,10.0,120.13,-176.14
random_same_freq_hold_10,300846,首都在线,算力/IDC/算力租赁,6,83.33,109.3,-12.4,8.81,14.02,10.0,120.13,-10.83
v1_tianma_exit,600588,用友网络,云计算,7,42.86,90.38,-32.54,2.78,12.23,17.7,0.61,89.77
tianma_hold_10,600588,用友网络,云计算,7,71.43,12.08,-13.35,0.91,2.4,10.0,0.61,11.47
tianma_hold_20,600588,用友网络,云计算,7,57.14,110.63,-39.85,2.78,14.45,20.0,0.61,110.02
macd_zero_hold_10,600588,用友网络,云计算,14,28.57,-22.66,-48.8,-0.46,-0.67,10.0,0.61,-23.27
kdj_any_hold_10,600588,用友网络,云计算,16,43.75,-43.11,-46.17,-0.93,-2.69,10.0,0.61,-43.72
random_same_freq_hold_10,600588,用友网络,云计算,8,37.5,-25.76,-28.57,-0.9,-2.51,10.0,0.61,-26.37
v1_tianma_exit,600845,宝信软件,云计算,11,18.18,-16.33,-25.49,-0.64,-1.18,10.8,-41.33,25.0
tianma_hold_10,600845,宝信软件,云计算,7,0.0,-22.92,-32.64,-0.7,-3.49,10.0,-41.33,18.41
tianma_hold_20,600845,宝信软件,云计算,6,16.67,-4.33,-30.45,-0.14,-0.21,20.0,-41.33,37.0
macd_zero_hold_10,600845,宝信软件,云计算,13,23.08,-30.99,-40.96,-0.76,-2.4,10.0,-41.33,10.34
kdj_any_hold_10,600845,宝信软件,云计算,16,6.25,-56.57,-64.45,-0.88,-4.73,10.0,-41.33,-15.24
random_same_freq_hold_10,600845,宝信软件,云计算,10,30.0,-3.56,-25.86,-0.14,0.27,10.0,-41.33,37.77
v1_tianma_exit,002230,科大讯飞,大模型/AI应用/AIGC,7,57.14,46.11,-20.43,2.26,6.44,17.1,7.11,39.0
tianma_hold_10,002230,科大讯飞,大模型/AI应用/AIGC,6,66.67,18.44,-10.96,1.68,4.23,10.0,7.11,11.33
tianma_hold_20,002230,科大讯飞,大模型/AI应用/AIGC,5,80.0,25.31,-12.22,2.07,6.17,20.0,7.11,18.2
macd_zero_hold_10,002230,科大讯飞,大模型/AI应用/AIGC,13,46.15,-10.96,-33.68,-0.33,-0.22,10.0,7.11,-18.07
kdj_any_hold_10,002230,科大讯飞,大模型/AI应用/AIGC,15,40.0,-1.96,-17.19,-0.11,0.66,10.0,7.11,-9.07
random_same_freq_hold_10,002230,科大讯飞,大模型/AI应用/AIGC,8,62.5,17.47,-9.27,1.88,2.44,10.0,7.11,10.36
v1_tianma_exit,601360,三六零,大模型/AI应用/AIGC,6,83.33,45.93,-19.66,2.34,7.04,18.3,25.06,20.87
tianma_hold_10,601360,三六零,大模型/AI应用/AIGC,6,66.67,29.19,-12.66,2.31,5.08,10.0,25.06,4.13
tianma_hold_20,601360,三六零,大模型/AI应用/AIGC,5,100.0,81.05,-17.02,4.76,15.07,20.0,25.06,55.99
macd_zero_hold_10,601360,三六零,大模型/AI应用/AIGC,13,53.85,24.63,-28.31,0.87,3.39,10.0,25.06,-0.43
kdj_any_hold_10,601360,三六零,大模型/AI应用/AIGC,16,37.5,-16.3,-37.67,-0.43,-0.09,10.0,25.06,-41.36
random_same_freq_hold_10,601360,三六零,大模型/AI应用/AIGC,7,42.86,-10.19,-18.51,-0.55,-0.88,10.0,25.06,-35.25
v1_tianma_exit,300418,昆仑万维,大模型/AI应用/AIGC,7,57.14,78.1,-25.89,3.02,8.59,16.6,47.76,30.34
tianma_hold_10,300418,昆仑万维,大模型/AI应用/AIGC,8,37.5,4.44,-16.19,0.27,1.12,10.0,47.76,-43.32
tianma_hold_20,300418,昆仑万维,大模型/AI应用/AIGC,6,50.0,35.16,-26.14,1.34,4.68,20.0,47.76,-12.6
macd_zero_hold_10,300418,昆仑万维,大模型/AI应用/AIGC,16,43.75,-30.62,-41.11,-0.74,-0.96,10.0,47.76,-78.38
kdj_any_hold_10,300418,昆仑万维,大模型/AI应用/AIGC,16,37.5,-26.34,-34.97,-0.75,-1.29,10.0,47.76,-74.1
random_same_freq_hold_10,300418,昆仑万维,大模型/AI应用/AIGC,7,42.86,-24.25,-29.43,-0.82,-2.88,10.0,47.76,-72.01
v1_tianma_exit,300624,万兴科技,大模型/AI应用/AIGC,9,44.44,111.17,-26.75,4.16,10.78,16.0,8.35,102.82
tianma_hold_10,300624,万兴科技,大模型/AI应用/AIGC,10,60.0,131.43,-19.76,6.65,10.93,10.0,8.35,123.08
tianma_hold_20,300624,万兴科技,大模型/AI应用/AIGC,7,71.43,103.95,-21.39,4.86,14.07,20.0,8.35,95.6
macd_zero_hold_10,300624,万兴科技,大模型/AI应用/AIGC,13,30.77,16.38,-26.45,0.62,2.89,10.0,8.35,8.03
kdj_any_hold_10,300624,万兴科技,大模型/AI应用/AIGC,18,38.89,8.34,-41.48,0.2,2.34,10.0,8.35,-0.01
random_same_freq_hold_10,300624,万兴科技,大模型/AI应用/AIGC,10,40.0,-26.15,-46.16,-0.57,-2.04,10.0,8.35,-34.5
v1_tianma_exit,300496,中科创达,AIPC/端侧AI,8,37.5,29.56,-27.11,1.09,5.96,11.0,45.71,-16.15
tianma_hold_10,300496,中科创达,AIPC/端侧AI,7,57.14,-11.1,-21.77,-0.51,-0.81,10.0,45.71,-56.81
tianma_hold_20,300496,中科创达,AIPC/端侧AI,6,66.67,36.63,-29.76,1.23,9.3,20.0,45.71,-9.08
macd_zero_hold_10,300496,中科创达,AIPC/端侧AI,10,70.0,51.08,-17.64,2.9,5.33,10.0,45.71,5.37
kdj_any_hold_10,300496,中科创达,AIPC/端侧AI,16,56.25,-11.94,-26.64,-0.45,0.14,10.0,45.71,-57.65
random_same_freq_hold_10,300496,中科创达,AIPC/端侧AI,9,22.22,-22.87,-34.9,-0.66,-2.44,10.0,45.71,-68.58
v1_tianma_exit,002405,四维图新,AIPC/端侧AI,4,50.0,-1.11,-15.42,-0.07,0.11,20.0,-6.41,5.3
tianma_hold_10,002405,四维图新,AIPC/端侧AI,4,50.0,8.33,-9.43,0.88,2.46,10.0,-6.41,14.74
tianma_hold_20,002405,四维图新,AIPC/端侧AI,4,100.0,24.92,-7.65,3.26,6.11,20.0,-6.41,31.33
macd_zero_hold_10,002405,四维图新,AIPC/端侧AI,15,33.33,-30.89,-44.37,-0.7,-1.86,10.0,-6.41,-24.48
kdj_any_hold_10,002405,四维图新,AIPC/端侧AI,15,33.33,-33.25,-41.21,-0.81,-2.2,10.0,-6.41,-26.84
random_same_freq_hold_10,002405,四维图新,AIPC/端侧AI,7,57.14,-0.22,-15.99,-0.01,0.61,10.0,-6.41,6.19
